"","Data","Fechamento"
"1","01/10/2021",113.125
"2","30/09/2021",110.665
"3","29/09/2021",111.165
"4","28/09/2021",110.03
"5","27/09/2021",113.41
"6","24/09/2021",113.76
"7","23/09/2021",114.05
"8","22/09/2021",112.45
"9","21/09/2021",110.24
"10","20/09/2021",109.63
"11","17/09/2021",111.25
"12","16/09/2021",114.4
"13","15/09/2021",115.62
"14","14/09/2021",116.9
"15","13/09/2021",116.705
"16","10/09/2021",114.7
"17","09/09/2021",117.09
"18","08/09/2021",113.83
"19","06/09/2021",118.36
"20","03/09/2021",116.9
"21","02/09/2021",117.175
"22","01/09/2021",119.2
"23","31/08/2021",119.215
"24","30/08/2021",120.61
"25","27/08/2021",120.855
"26","26/08/2021",119.58
"27","25/08/2021",121.4
"28","24/08/2021",121.25
"29","23/08/2021",118.02
"30","20/08/2021",118.9
"31","19/08/2021",118.01
"32","18/08/2021",116.985
"33","17/08/2021",118.16
"34","16/08/2021",120.646
"35","13/08/2021",122.254
"36","12/08/2021",121.715
"37","11/08/2021",123.132
"38","10/08/2021",123.48
"39","09/08/2021",124.045
"40","06/08/2021",124.125
"41","05/08/2021",122.128
"42","04/08/2021",123.056
"43","03/08/2021",124.282
"44","02/08/2021",124.216
"45","30/07/2021",123.339
"46","29/07/2021",126.515
"47","28/07/2021",127.408
"48","27/07/2021",125.809
"49","26/07/2021",127.297
"50","23/07/2021",126.051
"51","22/07/2021",127.64
"52","21/07/2021",127.499
"53","20/07/2021",126.611
"54","19/07/2021",126.127
"55","16/07/2021",127.514
"56","15/07/2021",129.137
"57","14/07/2021",130.085
"58","13/07/2021",129.944
"59","12/07/2021",129.591
"60","08/07/2021",126.757
"61","07/07/2021",128.472
"62","06/07/2021",126.394
"63","05/07/2021",128.784
"64","02/07/2021",129.506
"65","01/07/2021",127.151
"66","30/06/2021",128.079
"67","29/06/2021",128.86
"68","28/06/2021",129.097
"69","25/06/2021",129.188
"70","24/06/2021",131.245
"71","23/06/2021",130.277
"72","22/06/2021",130.872
"73","21/06/2021",131.003
"74","18/06/2021",129.616
"75","17/06/2021",130.398
"76","16/06/2021",131.003
"77","15/06/2021",132.102
"78","14/06/2021",132.311
"79","11/06/2021",131.665
"80","10/06/2021",132.235
"81","09/06/2021",131.853
"82","08/06/2021",132.092
"83","07/06/2021",132.651
"84","04/06/2021",132.219
"85","02/06/2021",131.533
"86","01/06/2021",130.517
"87","31/05/2021",128.18
"88","28/05/2021",127.535
"89","27/05/2021",126.605
"90","26/05/2021",125.889
"91","25/05/2021",125.305
"92","24/05/2021",126.148
"93","21/05/2021",124.736
"94","20/05/2021",124.766
"95","19/05/2021",125.081
"96","18/05/2021",124.868
"97","17/05/2021",125
"98","14/05/2021",123.816
"99","13/05/2021",122.892
"100","12/05/2021",121.825
"101","11/05/2021",124.944
"102","10/05/2021",124.151
"103","07/05/2021",124.431
"104","06/05/2021",122.292
"105","05/05/2021",122.033
"106","04/05/2021",120.072
"107","03/05/2021",121.449
"108","30/04/2021",120.991
"109","29/04/2021",122.211
"110","28/04/2021",123.933
"111","27/04/2021",121.118
"112","26/04/2021",123.232
"113","23/04/2021",123.151
"114","22/04/2021",122.165
"115","20/04/2021",122.221
"116","19/04/2021",123.283
"117","16/04/2021",123.588
"118","15/04/2021",123.049
"119","14/04/2021",122.846
"120","13/04/2021",121.637
"121","12/04/2021",121.243
"122","09/04/2021",120.379
"123","08/04/2021",120.855
"124","07/04/2021",120.604
"125","06/04/2021",120.374
"126","05/04/2021",120.196
"127","01/04/2021",117.242
"128","31/03/2021",119.173
"129","30/03/2021",119.582
"130","29/03/2021",118.1
"131","26/03/2021",117.359
"132","25/03/2021",116.015
"133","24/03/2021",114.232
"134","23/03/2021",115.627
"135","22/03/2021",117.988
"136","19/03/2021",118.422
"137","18/03/2021",117.84
"138","17/03/2021",119.173
"139","16/03/2021",116.72
"140","15/03/2021",117.574
"141","12/03/2021",116.715
"142","11/03/2021",117.186
"143","10/03/2021",115.489
"144","09/03/2021",113.552
"145","08/03/2021",111.406
"146","05/03/2021",117.957
"147","04/03/2021",115.954
"148","03/03/2021",113.792
"149","02/03/2021",114.451
"150","01/03/2021",112.847
"151","26/02/2021",112.274
"152","25/02/2021",114.492
"153","24/02/2021",118.509
"154","23/02/2021",118.085
"155","22/02/2021",114.615
"156","19/02/2021",120.824
"157","18/02/2021",121.836
"158","17/02/2021",123.364
"159","12/02/2021",122.602
"160","11/02/2021",122.731
"161","10/02/2021",121.213
"162","09/02/2021",122.561
"163","08/02/2021",122.726
"164","05/02/2021",123.587
"165","04/02/2021",122.028
"166","03/02/2021",122.91
"167","02/02/2021",121.608
"168","01/02/2021",120.464
"169","29/01/2021",117.895
"170","28/01/2021",122.531
"171","27/01/2021",118.459
"172","26/01/2021",119.279
"173","22/01/2021",120.454
"174","21/01/2021",121.167
"175","20/01/2021",122.756
"176","19/01/2021",123.751
"177","18/01/2021",124.336
"178","15/01/2021",123.387
"179","14/01/2021",126.408
"180","13/01/2021",125.397
"181","12/01/2021",127.341
