Data,Fechamento
01/10/2021,113.125
30/09/2021,110.665
29/09/2021,111.165
28/09/2021,110.030
27/09/2021,113.410
24/09/2021,113.760
23/09/2021,114.050
22/09/2021,112.450
21/09/2021,110.240
20/09/2021,109.630
17/09/2021,111.250
16/09/2021,114.400
15/09/2021,115.620
14/09/2021,116.900
13/09/2021,116.705
10/09/2021,114.700
09/09/2021,117.090
08/09/2021,113.830
06/09/2021,118.360
03/09/2021,116.900
02/09/2021,117.175
01/09/2021,119.200
31/08/2021,119.215
30/08/2021,120.610
27/08/2021,120.855
26/08/2021,119.580
25/08/2021,121.400
24/08/2021,121.250
23/08/2021,118.020
20/08/2021,118.900
19/08/2021,118.010
18/08/2021,116.985
17/08/2021,118.160
16/08/2021,120.646
13/08/2021,122.254
12/08/2021,121.715
11/08/2021,123.132
10/08/2021,123.480
09/08/2021,124.045
06/08/2021,124.125
05/08/2021,122.128
04/08/2021,123.056
03/08/2021,124.282
02/08/2021,124.216
30/07/2021,123.339
29/07/2021,126.515
28/07/2021,127.408
27/07/2021,125.809
26/07/2021,127.297
23/07/2021,126.051
22/07/2021,127.640
21/07/2021,127.499
20/07/2021,126.611
19/07/2021,126.127
16/07/2021,127.514
15/07/2021,129.137
14/07/2021,130.085
13/07/2021,129.944
12/07/2021,129.591
08/07/2021,126.757
07/07/2021,128.472
06/07/2021,126.394
05/07/2021,128.784
02/07/2021,129.506
01/07/2021,127.151
30/06/2021,128.079
29/06/2021,128.860
28/06/2021,129.097
25/06/2021,129.188
24/06/2021,131.245
23/06/2021,130.277
22/06/2021,130.872
21/06/2021,131.003
18/06/2021,129.616
17/06/2021,130.398
16/06/2021,131.003
15/06/2021,132.102
14/06/2021,132.311
11/06/2021,131.665
10/06/2021,132.235
09/06/2021,131.853
08/06/2021,132.092
07/06/2021,132.651
04/06/2021,132.219
02/06/2021,131.533
01/06/2021,130.517
31/05/2021,128.180
28/05/2021,127.535
27/05/2021,126.605
26/05/2021,125.889
25/05/2021,125.305
24/05/2021,126.148
21/05/2021,124.736
20/05/2021,124.766
19/05/2021,125.081
18/05/2021,124.868
17/05/2021,125.000
14/05/2021,123.816
13/05/2021,122.892
12/05/2021,121.825
11/05/2021,124.944
10/05/2021,124.151
07/05/2021,124.431
06/05/2021,122.292
05/05/2021,122.033
04/05/2021,120.072
03/05/2021,121.449
30/04/2021,120.991
29/04/2021,122.211
28/04/2021,123.933
27/04/2021,121.118
26/04/2021,123.232
23/04/2021,123.151
22/04/2021,122.165
20/04/2021,122.221
19/04/2021,123.283
16/04/2021,123.588
15/04/2021,123.049
14/04/2021,122.846
13/04/2021,121.637
12/04/2021,121.243
09/04/2021,120.379
08/04/2021,120.855
07/04/2021,120.604
06/04/2021,120.374
05/04/2021,120.196
01/04/2021,117.242
31/03/2021,119.173
30/03/2021,119.582
29/03/2021,118.100
26/03/2021,117.359
25/03/2021,116.015
24/03/2021,114.232
23/03/2021,115.627
22/03/2021,117.988
19/03/2021,118.422
18/03/2021,117.840
17/03/2021,119.173
16/03/2021,116.720
15/03/2021,117.574
12/03/2021,116.715
11/03/2021,117.186
10/03/2021,115.489
09/03/2021,113.552
08/03/2021,111.406
05/03/2021,117.957
04/03/2021,115.954
03/03/2021,113.792
02/03/2021,114.451
01/03/2021,112.847
26/02/2021,112.274
25/02/2021,114.492
24/02/2021,118.509
23/02/2021,118.085
22/02/2021,114.615
19/02/2021,120.824
18/02/2021,121.836
17/02/2021,123.364
12/02/2021,122.602
11/02/2021,122.731
10/02/2021,121.213
09/02/2021,122.561
08/02/2021,122.726
05/02/2021,123.587
04/02/2021,122.028
03/02/2021,122.910
02/02/2021,121.608
01/02/2021,120.464
29/01/2021,117.895
28/01/2021,122.531
27/01/2021,118.459
26/01/2021,119.279
22/01/2021,120.454
21/01/2021,121.167
20/01/2021,122.756
19/01/2021,123.751
18/01/2021,124.336
15/01/2021,123.387
14/01/2021,126.408
13/01/2021,125.397
12/01/2021,127.341
11/01/2021,126.638
08/01/2021,128.592
07/01/2021,126.428
06/01/2021,122.182
05/01/2021,122.090
04/01/2021,121.690
30/12/2020,122.254
29/12/2020,122.613
28/12/2020,122.669
23/12/2020,120.920
22/12/2020,120.038
21/12/2020,118.869
18/12/2020,121.079
17/12/2020,121.864
16/12/2020,120.920
15/12/2020,119.669
14/12/2020,117.581
11/12/2020,118.497
10/12/2020,118.620
09/12/2020,116.233
08/12/2020,117.020
07/12/2020,117.015
04/12/2020,116.763
03/12/2020,115.647
02/12/2020,115.225
01/12/2020,114.598
30/11/2020,112.643
27/11/2020,113.569
26/11/2020,113.476
25/11/2020,113.235
24/11/2020,113.363
23/11/2020,110.534
20/11/2020,109.248
19/11/2020,109.557
18/11/2020,108.914
17/11/2020,110.442
16/11/2020,109.969
13/11/2020,107.988
12/11/2020,105.854
11/11/2020,108.148
10/11/2020,107.860
09/11/2020,106.214
06/11/2020,103.935
05/11/2020,103.971
04/11/2020,101.225
03/11/2020,98.550
30/10/2020,97.213
