SETOR ECONÔMICO,SUBSETOR,SEGMENTO,NOME_B3,LISTAGEM_DOC,LISTAGEM_SEGMENTO,GF_codigo
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",3R PETROLEUM,RRRP,NM             ,
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",COSAN       ,CSAN,NM             ,
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",DOMMO,DMMO,,
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",ENAUTA PART,ENAT,NM             ,
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",PET MANGUINH,RPMG,,
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",PETROBRAS   ,PETR,N2,
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",PETROBRAS BR,BRDT,NM             ,
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",PETRORECSA ,RECV,NM             ,
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",PETRORIO,PRIO,NM             ,
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",ULTRAPAR    ,UGPA,NM             ,
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",Equipamentos e Serviços,LUPATECH    ,LUPA,NM             ,
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",Equipamentos e Serviços,OCEANPACT,OPCT,NM             ,
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",Equipamentos e Serviços,OSX BRASIL  ,OSXB,NM             ,
Materiais Básicos,Mineração,Minerais Metálicos,BRADESPAR   ,BRAP,N1             ,
Materiais Básicos,Mineração,Minerais Metálicos,CBA,CBAV,NM             ,
Materiais Básicos,Mineração,Minerais Metálicos,CSNMINERACAO,CMIN,N2            ,
Materiais Básicos,Mineração,Minerais Metálicos,LITEL       ,LTEL,MB             ,
Materiais Básicos,Mineração,Minerais Metálicos,LITELA,LTLA,MB             ,
Materiais Básicos,Mineração,Minerais Metálicos,MMX MINER   ,MMXM,NM             ,
Materiais Básicos,Mineração,Minerais Metálicos,VALE        ,VALE,NM             ,
Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,FERBASA     ,FESA,N1             ,
Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,GERDAU      ,GGBR,N1             ,
Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,GERDAU MET  ,GOAU,N1             ,
Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,SID NACIONAL,CSNA,,
Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,USIMINAS    ,USIM,N1             ,
Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,MANGELS INDL,MGEL,,
Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,PANATLANTICA,PATI,,
Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,TEKNO       ,TKNO,,
Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Cobre,PARANAPANEMA,PMAM,NM             ,
Materiais Básicos,Químicos,Petroquímicos,BRASKEM     ,BRKM,N1             ,
Materiais Básicos,Químicos,Petroquímicos,DEXXOS PAR,DEXP,N1             ,
Materiais Básicos,Químicos,Fertilizantes e Defensivos,FER HERINGER,FHER,NM             ,
Materiais Básicos,Químicos,Fertilizantes e Defensivos,NUTRIPLANT  ,NUTR,MA             ,
Materiais Básicos,Químicos,Fertilizantes e Defensivos,VITTIA,VITT,NM             ,
Materiais Básicos,Químicos,Químicos Diversos,CRISTAL,CRPG,,
Materiais Básicos,Químicos,Químicos Diversos,UNIPAR      ,UNIP,,
Materiais Básicos,Madeira e Papel,Madeira,DEXCO,DXCO,NM             ,
Materiais Básicos,Madeira e Papel,Madeira,EUCATEX     ,EUCA,N1             ,
Materiais Básicos,Madeira e Papel,Papel e Celulose,KLABIN S/A  ,KLBN,N2,
Materiais Básicos,Madeira e Papel,Papel e Celulose,MELHOR SP   ,MSPA,,
Materiais Básicos,Madeira e Papel,Papel e Celulose,SUZANO HOLD ,NEMO,,
Materiais Básicos,Madeira e Papel,Papel e Celulose,SUZANO S.A.,SUZB,NM             ,
Materiais Básicos,Embalagens,Embalagens,IRANI ,RANI,NM             ,
Materiais Básicos,Embalagens,Embalagens,METAL IGUACU,MTIG,,
Materiais Básicos,Materiais Diversos,Materiais Diversos,SANSUY      ,SNSY,,
Bens Industriais,Construção e Engenharia,Produtos para Construção,ETERNIT     ,ETER,NM             ,
Bens Industriais,Construção e Engenharia,Produtos para Construção,HAGA S/A    ,HAGA,,
Bens Industriais,Construção e Engenharia,Produtos para Construção,PORTOBELLO  ,PTBL,NM             ,
Bens Industriais,Construção e Engenharia,Construção Pesada,AZEVEDO     ,AZEV,,
Bens Industriais,Construção e Engenharia,Engenharia Consultiva,SONDOTECNICA,SOND,,
Bens Industriais,Construção e Engenharia,Engenharia Consultiva,TECNOSOLO   ,TCNO,,
Bens Industriais,Material de Transporte,Material Aeronáutico e de Defesa,EMBRAER     ,EMBR,NM             ,
Bens Industriais,Material de Transporte,Material Rodoviário,FRAS-LE     ,FRAS,N1             ,
Bens Industriais,Material de Transporte,Material Rodoviário,MARCOPOLO   ,POMO,N2             ,
Bens Industriais,Material de Transporte,Material Rodoviário,RANDON PART ,RAPT,N1             ,
Bens Industriais,Material de Transporte,Material Rodoviário,RECRUSUL    ,RCSL,,
Bens Industriais,Material de Transporte,Material Rodoviário,RIOSULENSE  ,RSUL,,
Bens Industriais,Material de Transporte,Material Rodoviário,TUPY        ,TUPY,NM             ,
Bens Industriais,Material de Transporte,Material Rodoviário,WETZEL S/A  ,MWET,,
Bens Industriais,Máquinas e Equipamentos,"Motores, Compressores e Outros",SCHULZ      ,SHUL,,
Bens Industriais,Máquinas e Equipamentos,"Motores, Compressores e Outros",WEG         ,WEGE,NM             ,
Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,ACO ALTONA  ,EALT,,
Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,AERIS,AERI,NM             ,
Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,ARMAC,ARML,NM             ,
Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,BARDELLA    ,BDLL,,
Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,INDS ROMI   ,ROMI,NM             ,
Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,INEPAR      ,INEP,,
Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,KEPLER WEBER,KEPL,,
Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,METALFRIO   ,FRIO,NM             ,
Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,MILLS       ,MILS,NM             ,
Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,NORDON MET  ,NORD,,
Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,PRATICA,PTCA,M2,
Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Construção e Agrícolas,METISA      ,MTSA,,
Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Construção e Agrícolas,STARA,STTR,MA,
Bens Industriais,Máquinas e Equipamentos,Armas e Munições,TAURUS ARMAS,TASA,N2             ,
Bens Industriais,Transporte,Transporte Aéreo,AZUL,AZUL,N2             ,
Bens Industriais,Transporte,Transporte Aéreo,GOL         ,GOLL,N2             ,
Bens Industriais,Transporte,Transporte Ferroviário,ALL NORTE   ,FRRN,MB             ,
Bens Industriais,Transporte,Transporte Ferroviário,ALL PAULISTA,GASC,MB             ,
Bens Industriais,Transporte,Transporte Ferroviário,COSAN LOG,RLOG,NM             ,
Bens Industriais,Transporte,Transporte Ferroviário,FER C ATLANT,VSPT,,
Bens Industriais,Transporte,Transporte Ferroviário,MRS LOGIST  ,MRSA,MB             ,
Bens Industriais,Transporte,Transporte Ferroviário,RUMO S.A.,RAIL,NM             ,
Bens Industriais,Transporte,Transporte Hidroviário,HIDROVIAS,HBSA,NM             ,
Bens Industriais,Transporte,Transporte Hidroviário,LOG-IN      ,LOGN,NM             ,
Bens Industriais,Transporte,Transporte Hidroviário,TREVISA     ,LUXM,,
Bens Industriais,Transporte,Transporte Rodoviário,JSL         ,JSLG,NM             ,
Bens Industriais,Transporte,Transporte Rodoviário,TEGMA       ,TGMA,NM             ,
Bens Industriais,Transporte,Exploração de Rodovias,AUTOBAN     ,ANHB,,
Bens Industriais,Transporte,Exploração de Rodovias,CCR SA      ,CCRO,NM             ,
Bens Industriais,Transporte,Exploração de Rodovias,CONC RAPOSO ,RPTA,,
Bens Industriais,Transporte,Exploração de Rodovias,CONC RIO TER,CRTE,MB             ,
Bens Industriais,Transporte,Exploração de Rodovias,ECON        ,ERDV,,
Bens Industriais,Transporte,Exploração de Rodovias,ECOPISTAS   ,ASCP,,
Bens Industriais,Transporte,Exploração de Rodovias,ECORODOVIAS ,ECOR,NM             ,
Bens Industriais,Transporte,Exploração de Rodovias,ECOVIAS     ,ECOV,,
Bens Industriais,Transporte,Exploração de Rodovias,ROD COLINAS ,COLN,,
Bens Industriais,Transporte,Exploração de Rodovias,ROD TIETE   ,RDVT,,
Bens Industriais,Transporte,Exploração de Rodovias,RT BANDEIRAS,CRBD,,
Bens Industriais,Transporte,Exploração de Rodovias,TRIANGULOSOL,TRIA,,
Bens Industriais,Transporte,Exploração de Rodovias,TRIUNFO PART,TPIS,NM             ,
Bens Industriais,Transporte,Exploração de Rodovias,VIAOESTE    ,VOES,,
Bens Industriais,Transporte,Serviços de Apoio e Armazenagem,GRUAIRPORT,AGRU,MB             ,
Bens Industriais,Transporte,Serviços de Apoio e Armazenagem,PORTO VM,PSVM,,
Bens Industriais,Transporte,Serviços de Apoio e Armazenagem,INVEPAR     ,IVPR,MB             ,
Bens Industriais,Transporte,Serviços de Apoio e Armazenagem,SALUS INFRA,SAIP,,
Bens Industriais,Transporte,Serviços de Apoio e Armazenagem,SANTOS BRP  ,STBP,N2             ,
Bens Industriais,Transporte,Serviços de Apoio e Armazenagem,WILSON SONS ,WSON,DR3,
Bens Industriais,Serviços Diversos,Serviços Diversos,ATMASA,ATMP,NM             ,
Bens Industriais,Serviços Diversos,Serviços Diversos,BBMLOGISTICA,BBML,MA,
Bens Industriais,Serviços Diversos,Serviços Diversos,DTCOM-DIRECT,DTCY,,
Bens Industriais,Serviços Diversos,Serviços Diversos,ESTAPAR,ALPK,NM             ,
Bens Industriais,Serviços Diversos,Serviços Diversos,FLEX S/A,FLEX,MA,
Bens Industriais,Serviços Diversos,Serviços Diversos,GPS,GGPS,NM             ,
Bens Industriais,Serviços Diversos,Serviços Diversos,PRINER,PRNR,MA,
Bens Industriais,Serviços Diversos,Serviços Diversos,SEQUOIA LOG,SEQL,NM             ,
Bens Industriais,Serviços Diversos,Serviços Diversos,VALID       ,VLID,NM             ,
Bens Industriais,Comércio,Material de Transporte,EMBPAR S/A,EPAR,,
Bens Industriais,Comércio,Material de Transporte,MINASMAQUINA,MMAQ,,
Bens Industriais,Comércio,Material de Transporte,RODOBENS,RBNS,,
Bens Industriais,Comércio,Material de Transporte,WLM IND COM ,WLMM,,
Consumo não Cíclico,Agropecuária,Agricultura,3TENTOS,TTEN,NM             ,
Consumo não Cíclico,Agropecuária,Agricultura,AGRIBRASIL,GRAO,MA,
Consumo não Cíclico,Agropecuária,Agricultura,AGROGALAXY,AGXY,NM             ,
Consumo não Cíclico,Agropecuária,Agricultura,ALIPERTI    ,APTI,,
Consumo não Cíclico,Agropecuária,Agricultura,BOA SAFRA,SOJA,NM             ,
Consumo não Cíclico,Agropecuária,Agricultura,BRASILAGRO  ,AGRO,NM             ,
Consumo não Cíclico,Agropecuária,Agricultura,POMIFRUTAS,FRTA,NM             ,
Consumo não Cíclico,Agropecuária,Agricultura,RAIZEN,RAIZ,N2,
Consumo não Cíclico,Agropecuária,Agricultura,SLC AGRICOLA,SLCE,NM             ,
Consumo não Cíclico,Agropecuária,Agricultura,TERRASANTAPA,LAND,NM             ,
Consumo não Cíclico,Alimentos Processados,Açucar e Alcool,JALLESMACHAD,JALL,NM             ,
Consumo não Cíclico,Alimentos Processados,Açucar e Alcool,RAIZEN ENERG,RESA,,
Consumo não Cíclico,Alimentos Processados,Açucar e Alcool,SAO MARTINHO,SMTO,NM             ,
Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,BRF SA   ,BRFS,NM             ,
Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,EXCELSIOR   ,BAUH,,
Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,JBS         ,JBSS,NM             ,
Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,MARFRIG     ,MRFG,NM             ,
Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,MINERVA     ,BEEF,NM             ,
Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,MINUPAR     ,MNPR,,
Consumo não Cíclico,Alimentos Processados,Alimentos Diversos,CAMIL,CAML,NM             ,
Consumo não Cíclico,Alimentos Processados,Alimentos Diversos,J.MACEDO    ,JMCD,,
Consumo não Cíclico,Alimentos Processados,Alimentos Diversos,JOSAPAR     ,JOPA,,
Consumo não Cíclico,Alimentos Processados,Alimentos Diversos,M.DIASBRANCO,MDIA,NM             ,
Consumo não Cíclico,Alimentos Processados,Alimentos Diversos,ODERICH     ,ODER,,
Consumo não Cíclico,Bebidas,Cervejas e Refrigerantes,AMBEV S/A,ABEV,,
Consumo não Cíclico,Produtos de Uso Pessoal e de Limpeza,Produtos de Uso Pessoal,GRUPO NATURA      ,NTCO,NM             ,
Consumo não Cíclico,Produtos de Uso Pessoal e de Limpeza,Produtos de Limpeza,BOMBRIL     ,BOBR,,
Consumo não Cíclico,Comércio e Distribuição,Produtos para Construção,ASSAI,ASAI,NM             ,
Consumo não Cíclico,Comércio e Distribuição,Produtos para Construção,CARREFOUR BR,CRFB,NM             ,
Consumo não Cíclico,Comércio e Distribuição,Produtos para Construção,GRUPO MATEUS,GMAT,NM             ,
Consumo não Cíclico,Comércio e Distribuição,Produtos para Construção,P.ACUCAR-CBD,PCAR,N1             ,
Consumo Cíclico,Construção Civil,Incorporações,ALPHAVILLE,AVLL,NM             ,
Consumo Cíclico,Construção Civil,Incorporações,CONST A LIND,CALI,,
